Start training VAE...
	Epoch 1 complete! 	Average Loss:  135.67269539401607
	Epoch 2 complete! 	Average Loss:  99.70840580655259
Finish!!
         10377872 function calls (10233797 primitive calls) in 39.671 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _symbolic_trace.py:694(_PatchedFn)
        1    0.000    0.000    0.000    0.000 _symbolic_trace.py:703(_PatchedFnSetItem)
        1    0.000    0.000    0.000    0.000 _symbolic_trace.py:708(_PatchedFnDel)
        1    0.000    0.000    0.000    0.000 _symbolic_trace.py:713(_PatchedFnSetAttr)
        1    0.000    0.000    0.000    0.000 _symbolic_trace.py:718(_Patcher)
        1    0.000    0.000    0.000    0.000 _symbolic_trace.py:798(wrap)
        1    0.000    0.000    0.016    0.016 _tensor.py:1(<module>)
    83980    0.052    0.000    0.063    0.000 _tensor.py:1001(grad)
       10    0.000    0.000    0.000    0.000 _tensor.py:20(_wrap_type_error_to_not_implemented)
     1200    0.011    0.000    4.697    0.004 _tensor.py:251(backward)
        5    0.000    0.000    0.000    0.000 _tensor.py:620(__len__)
    12050    0.008    0.000    0.012    0.000 _tensor.py:650(__hash__)
        1    0.000    0.000    0.000    0.000 _tensor.py:80(Tensor)
        1    0.000    0.000    0.001    0.001 _tensor_docs.py:1(<module>)
      519    0.000    0.000    0.001    0.000 _tensor_docs.py:9(add_docstr_all)
        1    0.000    0.000    0.000    0.000 _tensor_str.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tensor_str.py:7(__PrinterOptions)
        1    0.000    0.000    0.000    0.000 _tensor_str.py:74(_Formatter)
        9    0.000    0.000    0.000    0.000 _torch_docs.py:10(parse_kwargs)
        1    0.000    0.000    0.002    0.002 _torch_docs.py:2(<module>)
        9    0.000    0.000    0.000    0.000 _torch_docs.py:22(<listcomp>)
        9    0.000    0.000    0.000    0.000 _torch_docs.py:23(<listcomp>)
        9    0.000    0.000    0.000    0.000 _torch_docs.py:24(<dictcomp>)
        4    0.000    0.000    0.000    0.000 _torch_docs.py:27(merge_dicts)
        4    0.000    0.000    0.000    0.000 _torch_docs.py:28(<dictcomp>)
        1    0.000    0.000    0.001    0.001 _trace.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trace.py:1009(TracedModule)
        1    0.000    0.000    0.000    0.000 _trace.py:1100(TopLevelTracedModule)
        6    0.000    0.000    0.000    0.000 _trace.py:1113(_script_if_tracing)
        1    0.000    0.000    0.000    0.000 _trace.py:290(TracingCheckError)
        1    0.000    0.000    0.000    0.000 _trace.py:529(TracerWarning)
        1    0.000    0.000    0.000    0.000 _trace.py:530(ignore_lib_warnings)
        1    0.000    0.000    0.000    0.000 _trace.py:75(ONNXTracedModule)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:130(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:158(_set_up_aliases)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:41(<setcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:92(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 _typing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _typing.py:215(_DataPipeType)
       15    0.000    0.000    0.000    0.000 _typing.py:220(__init__)
       14    0.000    0.000    0.000    0.000 _typing.py:223(__repr__)
       14    0.000    0.000    0.000    0.000 _typing.py:226(__eq__)
       72    0.000    0.000    0.000    0.000 _typing.py:231(__hash__)
       14    0.000    0.000    0.000    0.000 _typing.py:234(issubtype)
        1    0.000    0.000    0.000    0.000 _typing.py:253(_DataPipeMeta)
       55    0.000    0.000    0.003    0.000 _typing.py:260(__new__)
        1    0.000    0.000    0.000    0.000 _typing.py:27(GenericMeta)
       55    0.000    0.000    0.000    0.000 _typing.py:279(__init__)
       14    0.000    0.000    0.001    0.000 _typing.py:282(__getitem__)
       28    0.000    0.000    0.000    0.000 _typing.py:292(<genexpr>)
        1    0.000    0.000    0.000    0.000 _typing.py:31(Integer)
        9    0.000    0.000    0.000    0.000 _typing.py:329(__eq__)
       72    0.000    0.000    0.000    0.000 _typing.py:337(__hash__)
       54    0.000    0.000    0.001    0.000 _typing.py:341(_dp_init_subclass)
        1    0.000    0.000    0.000    0.000 _typing.py:35(Boolean)
        1    0.000    0.000    0.000    0.000 _typing.py:4(<module>)
       10    0.000    0.000    0.000    0.000 _typing.py:56(issubtype)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:29(<dictcomp>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:359(_unspecified)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:366(errstate)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:425(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:434(__exit__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:440(_setdef)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:14(deferred_error)
        3    0.000    0.000    0.000    0.000 _util.py:5(isPath)
        6    0.000    0.000    0.002    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:11(BalancedPositiveNegativeSampler)
        1    0.000    0.000    0.000    0.000 _utils.py:129(BoxCoder)
        1    0.000    0.000    0.000    0.000 _utils.py:231(Matcher)
        1    0.000    0.000    0.000    0.000 _utils.py:352(SSDMatcher)
       31    0.000    0.000    0.000    0.000 _utils.py:37(_dummy_type)
        1    0.000    0.000    0.000    0.000 _utils.py:396(KeyErrorMessage)
        1    0.000    0.000    0.000    0.000 _utils.py:402(ExceptionWrapper)
        1    0.000    0.000    0.000    0.000 _utils.py:7(IntermediateLayerGetter)
        1    0.000    0.000    0.000    0.000 _utils.py:8(_SimpleSegmentationModel)
        1    0.000    0.000    0.022    0.022 _utils_internal.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _utils_internal.py:41(resolve_library_path)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
        3    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        1    0.000    0.000    0.006    0.006 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _video_opt.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _video_opt.py:26(Timebase)
        1    0.000    0.000    0.000    0.000 _video_opt.py:40(VideoMetaData)
        1    0.000    0.000    0.002    0.002 _vmap_internals.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
      130    0.000    0.000    0.006    0.000 abc.py:105(__new__)
       13    0.000    0.000    0.000    0.000 abc.py:110(register)
     2538    0.002    0.000    0.012    0.000 abc.py:117(__instancecheck__)
1418/1241    0.001    0.000    0.006    0.000 abc.py:121(__subclasscheck__)
       85    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        3    0.000    0.000    0.088    0.029 activation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 activation.py:1016(PReLU)
        1    0.000    0.000    0.000    0.000 activation.py:105(RReLU)
        1    0.000    0.000    0.000    0.000 activation.py:1082(Softsign)
        1    0.000    0.000    0.000    0.000 activation.py:11(MultiheadAttention)
        1    0.000    0.000    0.000    0.000 activation.py:1105(Tanhshrink)
        1    0.000    0.000    0.000    0.000 activation.py:1128(Softmin)
        1    0.000    0.000    0.000    0.000 activation.py:117(Sigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:1175(Softmax)
        1    0.000    0.000    0.000    0.000 activation.py:1232(Softmax2d)
        1    0.000    0.000    0.000    0.000 activation.py:1259(LogSoftmax)
        1    0.000    0.000    0.000    0.000 activation.py:13(Threshold)
        1    0.000    0.000    0.000    0.000 activation.py:168(Hardtanh)
        1    0.000    0.000    0.000    0.000 activation.py:240(ReLU6)
        1    0.000    0.000    0.000    0.000 activation.py:270(Sigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:294(Hardsigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:329(Tanh)
        1    0.000    0.000    0.000    0.000 activation.py:351(SiLU)
        1    0.000    0.000    0.000    0.000 activation.py:390(Mish)
        1    0.000    0.000    0.000    0.000 activation.py:4(ReLU6)
        1    0.000    0.000    0.000    0.000 activation.py:41(Hardswish)
        1    0.000    0.000    0.000    0.000 activation.py:424(Hardswish)
        1    0.000    0.000    0.000    0.000 activation.py:464(ELU)
        1    0.000    0.000    0.000    0.000 activation.py:506(CELU)
        1    0.000    0.000    0.000    0.000 activation.py:550(SELU)
        1    0.000    0.000    0.000    0.000 activation.py:599(GLU)
        1    0.000    0.000    0.000    0.000 activation.py:63(ReLU)
        1    0.000    0.000    0.000    0.000 activation.py:632(GELU)
        1    0.000    0.000    0.000    0.000 activation.py:65(ELU)
        1    0.000    0.000    0.000    0.000 activation.py:655(Hardshrink)
        1    0.000    0.000    0.000    0.000 activation.py:695(LeakyReLU)
        1    0.000    0.000    0.000    0.000 activation.py:745(LogSigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:768(Softplus)
        1    0.000    0.000    0.000    0.000 activation.py:812(Softshrink)
        1    0.000    0.000    0.000    0.000 activation.py:852(MultiheadAttention)
        1    0.000    0.000    0.000    0.000 activation.py:90(LeakyReLU)
        2    0.000    0.000    0.002    0.001 adadelta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adadelta.py:6(Adadelta)
        1    0.000    0.000    0.000    0.000 adadelta.py:7(Adadelta)
        2    0.000    0.000    0.000    0.000 adagrad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adagrad.py:5(Adagrad)
        1    0.000    0.000    0.000    0.000 adagrad.py:6(Adagrad)
        2    0.000    0.000    0.000    0.000 adam.py:1(<module>)
        2    0.000    0.000    0.000    0.000 adam.py:6(Adam)
        1    0.000    0.000    0.000    0.000 adam.py:60(__init__)
     1200    0.064    0.000    7.850    0.007 adam.py:81(step)
        2    0.000    0.000    0.000    0.000 adamax.py:1(<module>)
        2    0.000    0.000    0.000    0.000 adamax.py:6(Adamax)
        2    0.000    0.000    0.000    0.000 adamw.py:1(<module>)
        2    0.000    0.000    0.000    0.000 adamw.py:6(AdamW)
        1    0.000    0.000    0.000    0.000 adaptive.py:18(AdaptiveLogSoftmaxWithLoss)
        1    0.000    0.000    0.000    0.000 adaptive.py:3(<module>)
        1    0.000    0.000    0.000    0.000 alexnet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 alexnet.py:15(AlexNet)
        1    0.000    0.000    0.001    0.001 anchor_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anchor_utils.py:134(DefaultBoxGenerator)
        1    0.000    0.000    0.000    0.000 anchor_utils.py:9(AnchorGenerator)
        1    0.000    0.000    0.001    0.001 annotations.py:1(<module>)
        1    0.000    0.000    0.000    0.000 annotations.py:27(Module)
        2    0.000    0.000    0.000    0.000 annotations.py:28(__init__)
        1    0.000    0.000    0.000    0.000 annotations.py:39(EvalEnv)
        1    0.000    0.000    0.000    0.000 anomaly_mode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anomaly_mode.py:6(detect_anomaly)
        1    0.000    0.000    0.000    0.000 anomaly_mode.py:84(set_detect_anomaly)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:23(FFI)
        1    0.000    0.000    0.000    0.000 appdirs.py:407(AppDirs)
        1    0.000    0.000    0.022    0.022 appdirs.py:6(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1184(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1197(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1207(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1240(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1266(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1298(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1303(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1313(StructuredVoidFormat)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1527(_guarded_repr_or_str)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1534(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:455(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:465(decorating_function)
       15    0.000    0.000    0.000    0.000 arrayprint.py:468(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:867(FloatingFormat)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        2    0.000    0.000    0.000    0.000 asgd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgd.py:6(ASGD)
        1    0.000    0.000    0.000    0.000 asgd.py:7(ASGD)
       26    0.000    0.000    0.002    0.000 ast.py:33(parse)
        1    0.000    0.000    0.000    0.000 autoaugment.py:1(<module>)
        1    0.000    0.000    0.000    0.000 autoaugment.py:247(RandAugment)
        1    0.000    0.000    0.000    0.000 autoaugment.py:332(TrivialAugmentWide)
        1    0.000    0.000    0.000    0.000 autoaugment.py:54(AutoAugmentPolicy)
        1    0.000    0.000    0.000    0.000 autoaugment.py:64(AutoAugment)
        3    0.000    0.000    0.224    0.075 autocast_mode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:11(autocast)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:3(autocast)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:5(autocast)
        1    0.000    0.000    0.000    0.000 backbone_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backbone_utils.py:11(BackboneWithFPN)
        1    0.000    0.000    0.002    0.002 backward_compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.002    0.002 base64mime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 base_pruner.py:2(<module>)
        1    0.000    0.000    0.000    0.000 base_pruner.py:27(BasePruner)
        1    0.000    0.000    0.000    0.000 base_scheduler.py:2(<module>)
        1    0.000    0.000    0.000    0.000 base_scheduler.py:8(BaseScheduler)
        1    0.000    0.000    0.000    0.000 base_sparsifier.py:18(BaseSparsifier)
        1    0.000    0.000    0.001    0.001 base_sparsifier.py:2(<module>)
        2    0.000    0.000    0.041    0.021 batchnorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 batchnorm.py:118(_BatchNorm)
        1    0.000    0.000    0.000    0.000 batchnorm.py:14(_NormBase)
        1    0.000    0.000    0.000    0.000 batchnorm.py:183(_LazyNormBase)
        1    0.000    0.000    0.000    0.000 batchnorm.py:230(BatchNorm1d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:304(LazyBatchNorm1d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:339(BatchNorm2d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:39(BatchNorm3d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:411(LazyBatchNorm2d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:444(BatchNorm3d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:5(BatchNorm2d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:517(LazyBatchNorm3d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:550(SyncBatchNorm)
        1    0.000    0.000    0.004    0.004 bernoulli.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bernoulli.py:10(Bernoulli)
        1    0.000    0.000    0.001    0.001 beta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 beta.py:10(Beta)
        1    0.000    0.000    0.000    0.000 binomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binomial.py:12(Binomial)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bn_relu.py:2(<module>)
        1    0.000    0.000    0.000    0.000 bn_relu.py:41(BNReLU3d)
        1    0.000    0.000    0.000    0.000 bn_relu.py:8(BNReLU2d)
        1    0.000    0.000    0.001    0.001 boxes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:27(BZ2File)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        2    0.000    0.000    0.004    0.002 callable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 callable.py:185(CollatorIterDataPipe)
        1    0.000    0.000    0.000    0.000 callable.py:20(MapperIterDataPipe)
        1    0.000    0.000    0.000    0.000 callable.py:28(MapperMapDataPipe)
        1    0.000    0.000    0.000    0.000 caltech.py:1(<module>)
        1    0.000    0.000    0.000    0.000 caltech.py:10(Caltech101)
        1    0.000    0.000    0.000    0.000 caltech.py:139(Caltech256)
        1    0.000    0.000    0.000    0.000 categorical.py:1(<module>)
        1    0.000    0.000    0.000    0.000 categorical.py:8(Categorical)
        1    0.000    0.000    0.000    0.000 cauchy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cauchy.py:11(Cauchy)
        1    0.000    0.000    0.002    0.002 celeba.py:1(<module>)
        1    0.000    0.000    0.000    0.000 celeba.py:14(CelebA)
        1    0.000    0.000    0.000    0.000 channelshuffle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 channelshuffle.py:7(ChannelShuffle)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.002    0.002 charset.py:5(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1993(Chebyshev)
        1    0.000    0.000    0.000    0.000 checkpoint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 checkpoint.py:55(CheckpointFunction)
        1    0.000    0.000    0.002    0.002 chi2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chi2.py:5(Chi2)
        1    0.000    0.000    0.000    0.000 cifar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cifar.py:13(CIFAR10)
        1    0.000    0.000    0.000    0.000 cifar.py:150(CIFAR100)
        1    0.000    0.000    0.000    0.000 cityscapes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cityscapes.py:11(Cityscapes)
        1    0.000    0.000    0.017    0.017 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1395(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1453(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1458(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1461(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1464(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1469(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1472(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1475(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1489(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1492(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1495(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1498(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1501(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1508(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1513(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:177(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:240(HTTPResponse)
        1    0.000    0.000    0.000    0.000 client.py:794(HTTPConnection)
        1    0.000    0.000    0.000    0.000 clip_grad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coco.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coco.py:57(CocoCaptions)
        1    0.000    0.000    0.000    0.000 coco.py:8(CocoDetection)
       16    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       15    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
      103    0.000    0.000    0.001    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 collate.py:1(<module>)
3603/1201    0.335    0.000    0.673    0.001 collate.py:43(default_collate)
   120100    0.038    0.000    0.051    0.000 collate.py:81(<genexpr>)
     1201    0.009    0.000    0.262    0.000 collate.py:84(<listcomp>)
        1    0.000    0.000    0.000    0.000 combinatorics.py:1(<module>)
        1    0.000    0.000    0.000    0.000 combinatorics.py:47(ShufflerIterDataPipe)
        1    0.000    0.000    0.000    0.000 combinatorics.py:9(SamplerIterDataPipe)
        2    0.000    0.000    0.002    0.001 combining.py:1(<module>)
        1    0.000    0.000    0.000    0.000 combining.py:10(ConcaterIterDataPipe)
        1    0.000    0.000    0.000    0.000 combining.py:148(_ChildDataPipe)
        1    0.000    0.000    0.000    0.000 combining.py:182(DemultiplexerIterDataPipe)
        1    0.000    0.000    0.000    0.000 combining.py:209(_DemultiplexerIterDataPipe)
        1    0.000    0.000    0.000    0.000 combining.py:285(MultiplexerIterDataPipe)
        1    0.000    0.000    0.000    0.000 combining.py:324(ZipperIterDataPipe)
        1    0.000    0.000    0.000    0.000 combining.py:49(IterateBuffer)
        1    0.000    0.000    0.000    0.000 combining.py:59(ForkerIterDataPipe)
        1    0.000    0.000    0.000    0.000 combining.py:7(ConcaterMapDataPipe)
        1    0.000    0.000    0.000    0.000 combining.py:81(_ForkerIterDataPipe)
        1    0.000    0.000    0.001    0.001 comm.py:1(<module>)
        2    0.000    0.000    0.000    0.000 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:18(DefusedXmlException)
        1    0.000    0.000    0.000    0.000 common.py:25(DTDForbidden)
        1    0.000    0.000    0.000    0.000 common.py:39(EntitiesForbidden)
        1    0.000    0.000    0.000    0.000 common.py:56(ExternalReferenceForbidden)
        1    0.000    0.000    0.000    0.000 common.py:6(<module>)
        1    0.000    0.000    0.000    0.000 common.py:71(NotSupportedError)
        1    0.000    0.000    0.000    0.000 common.py:88(_generate_etree_functions)
        1    0.000    0.000    0.002    0.002 common_types.py:1(<module>)
        1    0.000    0.000    0.002    0.002 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:119(_ConnectionBase)
        1    0.000    0.000    0.000    0.000 connection.py:273(PipeConnection)
        1    0.000    0.000    0.000    0.000 connection.py:353(Connection)
        1    0.000    0.000    0.000    0.000 connection.py:437(Listener)
        1    0.000    0.000    0.000    0.000 connection.py:584(SocketListener)
        1    0.000    0.000    0.000    0.000 connection.py:644(PipeListener)
        1    0.000    0.000    0.000    0.000 connection.py:770(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 connection.py:792(XmlListener)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.002    0.002 constraint_registry.py:1(<module>)
       27    0.000    0.000    0.000    0.000 constraint_registry.py:106(<lambda>)
        1    0.000    0.000    0.000    0.000 constraint_registry.py:79(ConstraintRegistry)
        2    0.000    0.000    0.000    0.000 constraint_registry.py:83(__init__)
       54    0.000    0.000    0.000    0.000 constraint_registry.py:87(register)
        1    0.000    0.000    0.000    0.000 constraints.py:1(<module>)
        3    0.000    0.000    0.000    0.000 constraints.py:102(__init__)
        2    0.000    0.000    0.000    0.000 constraints.py:119(__call__)
        1    0.000    0.000    0.000    0.000 constraints.py:139(_DependentProperty)
       36    0.000    0.000    0.000    0.000 constraints.py:163(__init__)
       14    0.000    0.000    0.000    0.000 constraints.py:168(__call__)
        1    0.000    0.000    0.000    0.000 constraints.py:179(_IndependentConstraint)
        5    0.000    0.000    0.000    0.000 constraints.py:185(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:215(_Boolean)
        1    0.000    0.000    0.000    0.000 constraints.py:225(_OneHot)
        1    0.000    0.000    0.000    0.000 constraints.py:238(_IntegerInterval)
        1    0.000    0.000    0.000    0.000 constraints.py:258(_IntegerLessThan)
        1    0.000    0.000    0.000    0.000 constraints.py:277(_IntegerGreaterThan)
        2    0.000    0.000    0.000    0.000 constraints.py:283(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:296(_Real)
        1    0.000    0.000    0.000    0.000 constraints.py:304(_GreaterThan)
        1    0.000    0.000    0.000    0.000 constraints.py:308(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:321(_GreaterThanEq)
        2    0.000    0.000    0.000    0.000 constraints.py:325(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:338(_LessThan)
        1    0.000    0.000    0.000    0.000 constraints.py:355(_Interval)
        2    0.000    0.000    0.000    0.000 constraints.py:359(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:373(_HalfOpenInterval)
        1    0.000    0.000    0.000    0.000 constraints.py:377(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:391(_Simplex)
        1    0.000    0.000    0.000    0.000 constraints.py:402(_Multinomial)
        1    0.000    0.000    0.000    0.000 constraints.py:420(_LowerTriangular)
        1    0.000    0.000    0.000    0.000 constraints.py:431(_LowerCholesky)
        1    0.000    0.000    0.000    0.000 constraints.py:445(_CorrCholesky)
        1    0.000    0.000    0.000    0.000 constraints.py:459(_PositiveDefinite)
        1    0.000    0.000    0.000    0.000 constraints.py:471(_Cat)
        1    0.000    0.000    0.000    0.000 constraints.py:506(_Stack)
